,회사명,거래소코드,회계년도,감사의견코드,y,자기자본비율,부채비율,유동비율,당좌비율,차입금의존도,매출액규모,총자산규모,부채상환계수,총자본순이익률,자본금세전순이익률,자기자본순이익률,매출액세전순이익률,매출액영업이익률,금융비용대비매출액,매출원가율,이자보상배율,총자본회전율,자기자본회전율,비유동자산회전율,유형고정자산회전율,매출채권회전율,재고자산회전율,운전자산회전율,총자산증가율,유형자산증가율,매출액증가율,순이익증가율,자기자본증가율,총자본투자효율,부가가치율,노동소득분배율,현금흐름,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업
268,(주)케스피온,79190,2018,1,1.0,32.350179983404004,213.64031249054776,86.55457143853512,87.98616065857897,23.361519417411568,17.842881494364292,18.538520969084512,-65.92149431571714,-18.232220006076894,-10.330636284422113,-56.35894457289024,-36.028265866607626,-14.982115079106531,1.706595126507863,91.70639945059622,-877.895105077666,50.60532214783952,156.4298009278483,90.50161955378596,116.2154683288406,260.0995761767625,904.7284082748516,-699.7056939161863,2.969866434121226,-0.2463257780354901,4.1366124856129005,-2449.195190198193,-26.558030405625843,-4.139535097017425,-8.180039018275775,-71.53246315261103,-6.323597240290356,0,0,0,0,0,0,0,0,0,1
269,(주)케스피온,79190,2019,1,1.0,37.92749162756082,98.7501814342726,119.44110532288812,86.37041738934967,9.793140732160795,17.706370251985348,18.03581425507825,87.02674193392274,7.503862567834088,6.47409517945564,19.78475835291266,13.838815811581377,5.584010427317837,1.5415944366011995,66.26780206701729,362.223052622652,54.22329966668307,142.96568884423812,103.49399929046936,127.25088029162114,208.54148007252888,1046.083513671241,875.9549569796964,-39.51088255094815,-40.455095857031495,-12.760348760769125,398.42177492125256,-4.544360351831333,7.444826427039172,13.72993984652979,41.93970402059986,16.52161659762186,0,0,0,0,0,0,0,0,0,1
270,(주)케스피온,79190,2020,1,1.0,45.72198364929992,76.66637967577232,116.73267175739642,85.95702505410459,15.315332802832147,16.95184980805581,17.646477053661865,-36.71028641709258,-6.811866109218798,-8.815560393236135,-14.898448329511831,-16.89117686769498,-22.844513533862937,1.0686009618651084,81.07865246441226,-2137.796459961136,40.32795442599829,88.2025476744944,68.35763750536229,78.35481014421121,259.5760474983769,1313.814216931833,1287.1234779341337,-32.24942244153255,4.620623838458019,-52.97639347722291,-157.39537728859762,-23.78040685084132,-3.795235979767141,-9.410931037257026,-114.08926744782914,-0.9326361102212096,0,0,0,0,0,0,0,0,0,1
271,(주)케어젠,214370,2019,1,1.0,94.72988318359866,4.318319504560109,3096.02979879852,94.48518487908892,0.0,17.4130350152155,19.338379408224387,17012580.898876403,5.366347350483752,7.592963951507592,5.664893875233735,37.2389684096082,37.380048058842085,0.0002437838808235,21.1671928472385,15333273.033707865,14.410569303254803,15.212273908672802,77.02076429526448,102.07312524498468,106.04114580770612,324.21424256044,18.476599725691337,-2.3312612114208213,8.518131923260816,-19.900635551236128,-41.65527498000223,-1.4615768544762764,7.825223698576618,54.301974709695855,16.34922916057044,8.081986759796033,0,0,0,0,0,0,0,0,0,1
272,(주)케어젠,214370,2020,1,1.0,83.79536971438006,9.655641222546112,1154.550028319721,95.32265772596296,0.0,17.571753640402346,19.1757489150913,502086.0166629138,8.949665756254351,11.838320131565906,10.680382205794489,48.43531298659944,52.63766239457317,0.0103792298546008,18.60348993131736,507144.2017563612,18.477563588224253,22.05081694991714,72.35397179865186,90.48174610158932,223.1542559637253,650.2953865710551,33.30085567825007,-15.009482380047173,54.05197689752106,17.200812671371164,52.438649255305656,-19.146267064601982,11.742458057287193,63.54981814144944,14.14778676075755,10.064228400326174,0,0,0,0,0,0,0,0,0,1
273,(주)케이에스피,73010,2016,1,1.0,20.855809310043604,215.9055315217965,155.9908204698596,45.65241211888084,33.36153751033548,16.90788834663814,17.870722288504737,-555.2002096096609,-56.0185461514493,-56.087508938367606,-268.5992440699592,-222.69015806469872,-25.726110433254256,2.618482929877745,118.44198005056607,-982.48150254145,25.15537580927761,120.6156780363515,49.08832978135119,75.38168239650778,264.53374740862705,160.80846020188255,243.48453256155943,-50.87463304152391,-4.284050524570302,-26.97870583764711,-9321.7994965891,-73.85808154946439,-4.135064337005757,-16.438094061312707,-21.308826627983496,24.229834401036697,0,0,0,0,0,0,0,0,0,1
274,(주)케이에스피,73010,2017,1,1.0,25.80168486073115,257.0978554532107,343.4134914916796,31.075187680344925,0.0,16.364903149382567,17.713142283908105,418.6362633290008,3.4636709972719304,3.531468705667885,13.424204721388024,14.475518908142591,-8.42747435079985,7.399521865485584,97.91224179208795,-113.89214741170048,23.9277846911836,92.73729533686566,41.25927344884979,44.57821281667672,338.1528459898313,94.10614569706064,91.50952178041136,-14.57915297294792,0.89522074894514,-41.89887721393373,2747.782805087952,-24.432707530894994,1.5379812750940065,6.4275957634335,91.84041600167257,13.667522503018468,0,0,0,0,0,0,0,0,0,1
275,(주)케이에스피,73010,2018,1,1.0,12.664333944479448,661.7121380560014,210.168891857852,42.55762379077554,0.0,16.30115393630114,17.642428208787504,-0.1277706656686816,-4.706956304864701,-4.71615737036069,-37.16702611838916,-18.658423741702364,-9.14327807072854,10.101813296933493,97.7430383807134,-90.51125577131852,25.226977208929256,199.1970309652648,42.6931133005476,43.56271692539644,477.59668982895545,108.78992129682096,119.21489287247692,-6.827174166468823,-8.829544950983728,-6.175973158588729,-220.9357993360208,-56.319697915561726,1.255254309940307,4.975841138414322,113.32661691833698,-0.9837399102216656,0,0,0,0,0,0,0,0,0,1
276,(주)케이에스피,73010,2019,1,1.0,51.08903998337044,88.77100242938599,658.995992053811,32.802011701359575,0.0,16.868664021940535,17.57122399818156,781.0670338945404,3.498678109650287,3.528177860426894,6.848197012097137,7.324177902445261,7.502319418208901,1.4878362023367346,87.03179902064183,504.2436396174568,47.76888486668536,93.50123799984144,83.78942923898406,84.57024289948237,632.4517480922276,166.70656326291615,132.0635749552723,-6.872830284923756,-9.484405542160648,76.38696947016716,244.42739185644027,275.77856048791216,6.369506084394072,13.33400623056254,21.1086618321535,-8.77051333866919,0,0,0,0,0,0,0,0,0,1
277,(주)케이엑스하이텍,52900,2015,1,1.0,67.78311701331513,40.41355989816162,171.0215939497558,74.1828625905237,12.1465434379801,17.656798067273908,17.76578132261026,60.57718833287079,1.3299874009968398,1.7234314343663169,1.9621219259296976,1.5582881466227143,1.4465085263273925,0.4417584344799762,83.2140424207877,327.44332952695646,85.34925994780413,125.91521858022308,141.4699346876923,179.1607502193916,475.40154413046326,894.749594307611,556.2501373150068,-9.202747521745309,-13.52502928953501,-11.694969675827984,-41.39068302922655,57.70142910375331,6.806953694119772,7.9754103296063805,64.08919899940194,7.286073206242398,0,0,0,0,0,0,0,0,0,1
