Column1,회사명,거래소코드,회계년도,감사의견코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,(주)골드앤에스,35290,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,(주)골드앤에스,35290,2019,DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,(주)골드앤에스,35290,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,(주)골드앤에스,35290,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,(주)골드퍼시픽,38530,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,(주)골드퍼시픽,38530,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,(주)골드퍼시픽,38530,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,(주)골드퍼시픽,38530,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,(주)골드퍼시픽,38530,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,(주)골드퍼시픽,38530,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,(주)골드퍼시픽,38530,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,(주)골드퍼시픽,38530,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,(주)골드퍼시픽,38530,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,(주)골드퍼시픽,38530,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,(주)골드퍼시픽,38530,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,(주)골프존,215000,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,(주)골프존,215000,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,(주)골프존,215000,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,(주)골프존,215000,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,(주)골프존,215000,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,(주)골프존,215000,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,(주)골프존뉴딘홀딩스,121440,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,(주)골프존뉴딘홀딩스,121440,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,(주)골프존뉴딘홀딩스,121440,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,(주)골프존뉴딘홀딩스,121440,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,(주)골프존뉴딘홀딩스,121440,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,(주)골프존뉴딘홀딩스,121440,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,(주)골프존뉴딘홀딩스,121440,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,(주)골프존뉴딘홀딩스,121440,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,(주)골프존뉴딘홀딩스,121440,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,(주)골프존뉴딘홀딩스,121440,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,(주)광림,14200,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,(주)광림,14200,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,(주)광림,14200,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,(주)광림,14200,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,(주)광림,14200,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,(주)광림,14200,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,(주)광림,14200,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,(주)광림,14200,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,(주)광림,14200,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,(주)광림,14200,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,(주)광림,14200,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,(주)광무,29480,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,(주)광무,29480,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,(주)광무,29480,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,(주)광무,29480,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,(주)광무,29480,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,(주)광무,29480,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,(주)광무,29480,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,(주)광무,29480,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,(주)광무,29480,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,(주)광무,29480,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,(주)광무,29480,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,(주)구영테크,53270,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,(주)구영테크,53270,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,(주)구영테크,53270,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,(주)구영테크,53270,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
