,자기자본비율,총자산규모,총자본회전율,총자본순이익률,자기자본증가율,자기자본회전율,차입금의존도,총자산증가율,회사명,거래소코드,회계년도,감사의견코드,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업,y
8432,65.58697269486214,18.52923546270743,35.321240581412,0.1406100246795514,3.149749136504476,53.8540492572223,21.675729758337926,-9.845107101336488,삼영엠텍(주),54540,2017,1,0,0,0,0,0,0,0,0,0,1,0.0
8433,68.02128576337444,18.549125707601643,36.58081937670588,0.06708368803551,-0.6701836629854241,53.77848855130368,20.60261148971521,2.008937386529901,삼영엠텍(주),54540,2018,1,0,0,0,0,0,0,0,0,0,1,0.0
8434,67.73975208585674,18.59355625197157,42.27839819291356,1.1753233688209008,2.8611862594490445,62.41298040082551,24.190852007540965,4.543236302529428,삼영엠텍(주),54540,2019,1,0,0,0,0,0,0,0,0,0,1,0.0
8435,66.67334978596507,18.5936372435038,44.99891799586336,5.104888366405086,0.6160057553162623,67.49161117645804,20.38811667138094,0.0080994812134224,삼영엠텍(주),54540,2020,1,0,0,0,0,0,0,0,0,0,1,0.0
8436,86.42679142590391,18.01566936289452,53.70261610987792,10.039178496722016,19.920712574218324,62.13653801543549,11.807840483159778,20.70542273777057,삼영이엔씨(주),65570,2011,1,0,0,0,0,0,0,0,0,0,1,0.0
8437,86.4065946973424,18.078834523310825,45.969458395923176,9.634891126363918,12.92106685060097,53.20133093653448,8.566699234885586,6.5202754034136685,삼영이엔씨(주),65570,2012,1,0,0,0,0,0,0,0,0,0,1,0.0
8438,92.61276326749991,18.18316369963508,43.57868954742996,8.234386399997492,16.64575735580751,47.054734153173456,4.967176012342292,10.996576923783405,삼영이엔씨(주),65570,2013,1,0,0,0,0,0,0,0,0,0,1,0.0
8439,89.35047925121641,18.273209881056072,37.0454067244522,5.6910765186114105,6.287825310782247,41.46078122345143,6.584432788990552,9.42248153952508,삼영이엔씨(주),65570,2014,1,0,0,0,0,0,0,0,0,0,1,0.0
8440,89.5626905060545,18.31762061371132,28.847975623882444,5.681243902872808,7.125837206747909,32.209813551695724,4.332108748666422,4.541165142277283,삼영이엔씨(주),65570,2015,1,0,0,0,0,0,0,0,0,0,1,0.0
8441,90.24813898304646,18.33447953323485,30.58006251063661,4.768294674581481,3.878107066338576,33.884424493652126,3.0195401455804176,1.7001833100530594,삼영이엔씨(주),65570,2016,1,0,0,0,0,0,0,0,0,0,1,0.0
