,거래소코드,회계년도,y,예측
576,17650,2014,0.0,0.0
577,17650,2015,0.0,0.0
578,17650,2016,0.0,0.0
579,17650,2017,0.0,0.0
580,17650,2018,0.0,0.0
581,17650,2019,0.0,0.0
582,17650,2020,0.0,1.0
583,7720,2011,0.0,0.0
584,7720,2012,0.0,1.0
585,7720,2013,0.0,0.0
586,7720,2014,0.0,0.0
587,7720,2015,0.0,0.0
588,7720,2016,0.0,0.0
589,7720,2017,0.0,0.0
590,7720,2018,0.0,1.0
591,7720,2019,0.0,0.0
592,7720,2020,0.0,1.0
593,36480,2011,0.0,0.0
594,36480,2012,0.0,1.0
595,36480,2013,0.0,0.0
596,36480,2014,0.0,0.0
597,36480,2015,0.0,0.0
598,36480,2016,0.0,0.0
599,36480,2017,0.0,0.0
600,36480,2018,0.0,0.0
601,36480,2019,0.0,0.0
602,36480,2020,0.0,0.0
603,25440,2011,0.0,1.0
604,25440,2012,0.0,0.0
605,25440,2013,0.0,1.0
606,25440,2014,1.0,1.0
607,25440,2015,0.0,1.0
608,25440,2016,0.0,1.0
609,25440,2017,0.0,1.0
610,25440,2018,0.0,1.0
611,25440,2019,0.0,1.0
612,25440,2020,0.0,1.0
613,104040,2011,0.0,0.0
614,104040,2012,0.0,0.0
615,104040,2013,0.0,0.0
616,104040,2014,0.0,0.0
617,104040,2015,0.0,0.0
618,104040,2016,0.0,0.0
619,104040,2017,0.0,0.0
620,104040,2018,0.0,0.0
621,104040,2019,0.0,1.0
622,104040,2020,0.0,0.0
623,7680,2019,0.0,0.0
624,7680,2020,0.0,0.0
625,290380,2019,0.0,0.0
626,290380,2020,0.0,0.0
627,290120,2020,0.0,1.0
628,96350,2011,0.0,0.0
629,96350,2012,0.0,0.0
630,96350,2013,0.0,0.0
631,96350,2014,0.0,1.0
632,96350,2015,0.0,1.0
633,96350,2016,0.0,0.0
634,96350,2017,0.0,0.0
635,96350,2018,0.0,0.0
636,96350,2019,0.0,0.0
637,96350,2020,0.0,1.0
638,140520,2016,0.0,0.0
639,140520,2017,0.0,0.0
640,140520,2018,0.0,1.0
641,140520,2019,0.0,1.0
642,140520,2020,0.0,1.0
643,131220,2013,0.0,0.0
644,131220,2014,0.0,0.0
645,131220,2015,0.0,0.0
646,131220,2016,0.0,1.0
647,131220,2017,0.0,1.0
648,131220,2018,0.0,0.0
649,131220,2019,0.0,0.0
650,131220,2020,0.0,0.0
651,21040,2011,0.0,1.0
652,21040,2012,0.0,1.0
653,21040,2013,0.0,0.0
654,21040,2014,0.0,1.0
655,21040,2015,0.0,1.0
656,21040,2016,0.0,1.0
657,21040,2017,0.0,0.0
658,21040,2018,0.0,0.0
659,21040,2019,0.0,1.0
660,21040,2020,0.0,1.0
661,161570,2015,0.0,0.0
662,161570,2016,0.0,1.0
663,161570,2017,0.0,0.0
664,161570,2018,0.0,1.0
665,161570,2019,0.0,1.0
666,161570,2020,0.0,1.0
667,192080,2017,0.0,0.0
668,192080,2018,0.0,0.0
669,73570,2011,0.0,1.0
670,73570,2012,0.0,1.0
671,73570,2013,0.0,1.0
672,73570,2014,0.0,1.0
673,73570,2015,0.0,1.0
674,73570,2016,1.0,0.0
675,73570,2017,1.0,1.0
676,73570,2018,0.0,1.0
677,73570,2019,1.0,1.0
678,73570,2020,0.0,1.0
679,54120,2011,1.0,1.0
680,317330,2020,0.0,0.0
681,90410,2015,0.0,1.0
682,90410,2016,0.0,0.0
683,90410,2017,0.0,1.0
684,90410,2018,0.0,0.0
685,90410,2019,0.0,0.0
686,90410,2020,0.0,0.0
687,263800,2018,0.0,1.0
688,263800,2019,0.0,1.0
689,263800,2020,0.0,1.0
690,17680,2011,0.0,1.0
691,17680,2012,0.0,1.0
692,17680,2013,0.0,1.0
693,17680,2014,0.0,1.0
694,17680,2015,0.0,0.0
695,17680,2016,0.0,1.0
696,17680,2017,0.0,1.0
697,17680,2018,1.0,0.0
698,17680,2019,1.0,1.0
699,206560,2016,0.0,0.0
700,206560,2017,0.0,0.0
701,206560,2018,0.0,0.0
702,206560,2019,0.0,0.0
703,206560,2020,0.0,0.0
704,6620,2018,0.0,0.0
705,6620,2019,0.0,0.0
706,6620,2020,0.0,0.0
707,75970,2011,0.0,0.0
708,75970,2012,0.0,1.0
709,75970,2013,0.0,0.0
710,75970,2014,0.0,1.0
711,75970,2015,0.0,0.0
712,75970,2016,0.0,1.0
713,75970,2017,0.0,0.0
714,75970,2018,0.0,0.0
715,75970,2019,0.0,0.0
716,75970,2020,0.0,0.0
717,100130,2011,0.0,1.0
718,100130,2012,0.0,1.0
719,100130,2013,0.0,0.0
720,100130,2014,0.0,0.0
721,100130,2015,0.0,1.0
722,100130,2016,0.0,0.0
723,100130,2017,0.0,0.0
724,100130,2018,0.0,1.0
725,100130,2019,0.0,1.0
726,100130,2020,0.0,1.0
727,99410,2011,0.0,0.0
728,99410,2012,0.0,0.0
729,99410,2013,0.0,1.0
730,99410,2014,0.0,1.0
731,99410,2015,0.0,1.0
732,99410,2016,0.0,1.0
733,99410,2017,0.0,0.0
734,99410,2018,0.0,1.0
735,99410,2019,0.0,1.0
736,99410,2020,0.0,1.0
737,26960,2011,0.0,0.0
738,26960,2012,0.0,0.0
739,26960,2013,0.0,0.0
740,26960,2014,0.0,0.0
741,26960,2015,0.0,0.0
742,13450,2011,0.0,0.0
743,13450,2012,0.0,0.0
744,13450,2013,0.0,0.0
745,13450,2014,0.0,0.0
746,33500,2011,0.0,1.0
747,33500,2012,0.0,1.0
748,33500,2013,0.0,1.0
749,33500,2014,0.0,1.0
750,33500,2015,0.0,1.0
751,33500,2016,0.0,0.0
752,33500,2017,0.0,1.0
753,33500,2018,0.0,1.0
754,33500,2019,0.0,0.0
755,33500,2020,0.0,0.0
756,88130,2011,0.0,0.0
757,88130,2012,0.0,0.0
758,88130,2013,0.0,0.0
759,88130,2014,0.0,0.0
760,88130,2015,0.0,0.0
761,88130,2016,0.0,0.0
762,88130,2017,0.0,0.0
763,88130,2018,0.0,0.0
764,88130,2019,0.0,0.0
765,88130,2020,0.0,1.0
766,60380,2011,0.0,1.0
767,60380,2012,0.0,1.0
768,60380,2013,0.0,1.0
769,60380,2014,0.0,1.0
770,60380,2015,0.0,1.0
771,60380,2016,0.0,0.0
772,60380,2017,0.0,1.0
773,60380,2018,0.0,1.0
774,60380,2019,0.0,1.0
775,60380,2020,0.0,1.0
776,88910,2011,0.0,0.0
777,88910,2012,0.0,0.0
778,88910,2013,0.0,0.0
779,88910,2014,0.0,1.0
780,88910,2015,0.0,0.0
781,88910,2016,0.0,0.0
782,88910,2017,0.0,0.0
783,88910,2018,0.0,0.0
784,88910,2019,0.0,0.0
785,88910,2020,0.0,1.0
786,94170,2016,0.0,0.0
787,94170,2017,0.0,0.0
788,94170,2018,0.0,0.0
789,94170,2019,0.0,1.0
790,94170,2020,0.0,1.0
791,13120,2011,0.0,0.0
792,13120,2012,0.0,0.0
793,13120,2013,0.0,0.0
794,13120,2014,0.0,0.0
795,13120,2015,0.0,0.0
796,13120,2016,0.0,0.0
