,총자본순이익률,자기자본비율,총자산규모,총자본회전율,자기자본증가율,차입금의존도,자기자본회전율,총자산증가율,y,감사의견코드,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업,회계년도
21,-19.024022368873634,42.05066430397997,17.28660187614344,10.812004562893796,-13.65518262274701,13.916189603370832,25.71185198106484,2.7762214738759137,1.0,0,0,0,0,0,0,0,0,0,0,1,2016
22,-24.150263165731044,27.789566707408547,17.202786754690365,35.93837993437871,-35.70228189464333,13.486363857390888,129.3232827728751,-8.039874507616647,1.0,1,0,0,0,0,0,0,0,0,0,1,2017
23,-1.6406641100999737,52.65255570973747,17.606412048711235,29.446847249819168,-17.55586067588849,4.42315269024651,55.92671970597873,-46.31346105611419,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
24,-36.18434161503639,35.02106550771657,18.255219490060465,42.22994943672778,-26.41483461906341,34.54843206637235,120.584422045705,-12.589586363895148,1.0,0,0,0,0,0,0,0,0,0,1,0,2011
25,1.19446680364719,56.49657158516429,18.332757249291674,46.77607582472475,26.19208581094332,1.7990809350066497,82.79453869906666,119.00215438900716,1.0,0,0,0,0,0,0,0,0,0,0,1,2018
26,-22.961562256616816,18.15356294261704,17.493469398653115,40.48513318238909,-68.41047816475816,2.470479184360012,223.0148060210637,-56.7981924698897,1.0,0,0,0,0,0,0,0,0,0,0,1,2019
27,-38.80320719738594,47.625393448589904,19.393023679819684,38.7119300903583,135.17311058988403,0.0,81.28422105771493,290.5492689967201,1.0,0,0,0,0,0,0,0,0,0,0,1,2020
28,2.026337157590804,58.65459127138804,17.32867701060042,94.21887663759058,63.16654610294452,0.2232471326979119,160.63342117866048,-14.828459203816044,1.0,1,0,0,1,0,0,0,0,0,0,0,2017
29,-3.271043839878717,73.45744458756661,18.33604359715542,1.515132290993092,69.32086737779737,6.7208062944490985,2.062598691664184,-10.056330543759518,1.0,0,0,0,1,0,0,0,0,0,0,0,2020
30,5.552258902378576,49.41610110868343,18.85162296985434,49.62625446202791,-22.321612019553573,5.203303451845877,100.42527303577084,-17.063867596063336,1.0,1,0,0,0,0,0,0,0,0,0,1,2018
31,-0.0275763866601276,79.79182013483918,17.442813207392017,5.025250115729514,0.1173400949266767,1.5071809069116968,6.297951478281116,-10.465686053961551,1.0,1,0,0,1,0,0,0,0,0,0,0,2011
32,6.106958188066316,57.16540029706915,19.326356099559668,83.37148863144984,6.924691917810621,35.751528238410444,145.8425694531947,36.96773829202083,1.0,1,0,0,0,0,0,0,0,0,0,1,2012
33,-62.99220697759854,-115.99267884636268,18.09550526995197,7.86226199144629,-245.09129772630524,61.63909953445311,-6.778239859310601,-74.43083903937985,1.0,0,0,0,0,0,0,0,0,0,0,1,2014
34,17.59595096189212,64.32556180100849,18.56360681432108,85.27502067736651,10.592500654752657,12.442333738857627,132.56785994526606,-7.203871012984063,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
35,-15.755578376005236,51.27100668305261,17.79422119852926,18.06007678565229,-43.86257676001426,0.0111010719009022,35.22473607217461,-53.67023763672225,1.0,1,0,0,0,0,0,0,0,0,0,1,2020
36,-29.69269247661042,50.105329554245536,18.369878318542607,7.85109417224615,-55.82039356499098,4.796650122269399,15.66917979003874,-38.46511599239921,1.0,1,0,0,0,0,0,0,0,0,1,0,2019
37,0.6631144626680521,33.45739086689222,17.496685155759035,9.622447096746605,-63.94032687684316,4.4307675646499085,28.760303321406045,-58.2384097643679,1.0,1,0,0,0,0,0,0,0,0,1,0,2020
38,2.5788885293550208,11.62012908254388,16.391381518538815,7.129297372453079,-83.84676054311096,13.205461909114884,61.35299635494525,-74.30563985222783,1.0,0,0,0,0,0,0,0,0,0,0,1,2013
39,-1.2925024614903815,26.64498527878896,16.9477295030013,67.43789354536136,-34.348169619458204,2.649084119935971,253.0978825461993,-16.200561492403132,1.0,1,0,0,0,0,0,0,0,0,1,0,2012
40,-24.365397961163502,44.15575523796218,18.46900645742413,17.946799275878075,40.32323749443767,4.329674526842192,40.644303736081525,5.480435123798693,1.0,0,0,0,0,0,0,0,0,0,0,1,2019
41,-10.729788794201458,37.58837273382966,18.611185187752127,31.636307282800207,-18.972951827188844,14.53779246281954,84.16514198904767,-15.24713148159913,1.0,0,0,0,0,0,0,0,0,0,0,1,2020
42,-41.7019314589041,33.39116806701536,17.643072371913792,43.6073077314495,-48.8746468496275,14.820843316185137,130.5953348020967,94.62797191263304,1.0,1,0,0,0,0,0,0,0,0,0,1,2011
43,-4.901310983078416,29.40501910294689,17.70514716743896,42.835624697962906,20.07142095707044,9.54203684761384,145.67453450037047,6.404192732654186,1.0,1,0,0,0,0,0,0,0,0,0,1,2012
44,-1.5397227730170513,26.43587874844173,19.360596111503245,29.41155695875875,-19.15596588948916,6.152428299802164,111.256210692419,-42.040570080749816,1.0,1,0,0,0,0,0,0,0,0,0,1,2018
45,-31.00247506175301,0.4633205720502849,18.136834452145536,51.73140615935255,-98.62033382087915,48.34425932349729,11165.359209160708,0.0182850834211098,1.0,1,0,0,0,0,0,0,0,0,0,1,2013
46,-9.927023270104234,19.00312967376312,17.45565717376562,10.030771587306894,-21.945306133745905,58.58850213028292,52.78483996852367,-13.063209673848824,1.0,1,0,0,1,0,0,0,0,0,0,0,2015
47,-22.30906122293676,24.171933502928955,17.885896576018506,26.81551633200516,-57.58681786305117,32.734657317131365,110.93657993373128,-27.985599620654177,1.0,1,0,0,1,0,0,0,0,0,0,0,2019
48,-0.6586880007147478,28.830511613282777,17.78898485518776,2.212761573743098,-4.74428521875454,30.90619037000817,7.675068702990464,-9.236387203996424,1.0,1,0,0,1,0,0,0,0,0,0,0,2020
49,-8.56358233826158,14.135380289984733,18.3215004248106,37.20466757430429,-43.3274403635516,48.24603641907463,263.20245236461534,-13.811248774927895,1.0,1,0,0,0,0,0,0,0,0,0,1,2011
50,-5.803237599086045,30.406764737613827,16.844209606426247,49.35187172046048,-50.869953799530506,4.940124409241878,162.30556636435293,-45.60751089819459,1.0,1,0,0,1,0,0,0,0,0,0,0,2015
51,-21.56152197685908,52.27047827090748,17.460605378063992,5.600527865265018,-17.176141501192188,6.852593063743262,10.714514292826244,-2.9050352463235742,1.0,1,0,0,0,0,0,0,0,0,1,0,2015
52,-13.525692640300964,8.493466968209484,17.752464352494563,51.165352310878966,-79.46507754820784,48.96531259372581,602.4083275108701,-41.04411707793601,1.0,1,0,0,0,0,0,0,0,0,0,1,2019
