,회사명,거래소코드,회계년도,산업분류
232,(주)기산텔레콤,35460,2013,제조업
233,(주)기산텔레콤,35460,2014,제조업
234,(주)기산텔레콤,35460,2015,제조업
235,(주)기산텔레콤,35460,2016,제조업
236,(주)기산텔레콤,35460,2017,제조업
237,(주)기산텔레콤,35460,2018,제조업
238,(주)기산텔레콤,35460,2019,제조업
239,(주)기산텔레콤,35460,2020,제조업
240,(주)기산텔레콤,35460,2021,제조업
241,(주)까스텔바작,308100,2020,도매 및 소매업
242,(주)까스텔바작,308100,2021,도매 및 소매업
243,(주)나노,187790,2015,제조업
244,(주)나노,187790,2016,제조업
245,(주)나노,187790,2017,제조업
246,(주)나노,187790,2018,제조업
247,(주)나노,187790,2019,제조업
248,(주)나노,187790,2020,제조업
249,(주)나노,187790,2021,제조업
250,(주)나노브릭,286750,2020,제조업
251,(주)나노브릭,286750,2021,제조업
252,(주)나노신소재,121600,2012,제조업
253,(주)나노신소재,121600,2013,제조업
254,(주)나노신소재,121600,2014,제조업
255,(주)나노신소재,121600,2015,제조업
256,(주)나노신소재,121600,2016,제조업
257,(주)나노신소재,121600,2017,제조업
258,(주)나노신소재,121600,2018,제조업
259,(주)나노신소재,121600,2019,제조업
260,(주)나노신소재,121600,2020,제조업
261,(주)나노신소재,121600,2021,제조업
262,(주)나노엔텍,39860,2011,제조업
263,(주)나노엔텍,39860,2012,제조업
264,(주)나노엔텍,39860,2013,제조업
265,(주)나노엔텍,39860,2014,제조업
266,(주)나노엔텍,39860,2015,제조업
267,(주)나노엔텍,39860,2016,제조업
268,(주)나노엔텍,39860,2017,제조업
269,(주)나노엔텍,39860,2018,제조업
270,(주)나노엔텍,39860,2019,제조업
271,(주)나노엔텍,39860,2020,제조업
272,(주)나노엔텍,39860,2021,제조업
273,(주)나노트로닉스,10670,2011,제조업
274,(주)나노트로닉스,10670,2012,제조업
275,(주)나노트로닉스,10670,2013,제조업
276,(주)나무가,190510,2017,제조업
277,(주)나무가,190510,2018,제조업
278,(주)나무가,190510,2019,제조업
279,(주)나무가,190510,2020,제조업
280,(주)나무가,190510,2021,제조업
281,(주)나스미디어,89600,2014,"전문, 과학 및 기술 서비스업"
282,(주)나스미디어,89600,2015,"전문, 과학 및 기술 서비스업"
283,(주)나스미디어,89600,2016,"전문, 과학 및 기술 서비스업"
284,(주)나스미디어,89600,2017,"전문, 과학 및 기술 서비스업"
285,(주)나스미디어,89600,2018,"전문, 과학 및 기술 서비스업"
286,(주)나스미디어,89600,2019,"전문, 과학 및 기술 서비스업"
287,(주)나스미디어,89600,2020,"전문, 과학 및 기술 서비스업"
288,(주)나스미디어,89600,2021,"전문, 과학 및 기술 서비스업"
289,(주)나이벡,138610,2012,제조업
290,(주)나이벡,138610,2013,제조업
291,(주)나이벡,138610,2014,제조업
292,(주)나이벡,138610,2015,제조업
293,(주)나이벡,138610,2016,제조업
294,(주)나이벡,138610,2017,제조업
295,(주)나이벡,138610,2018,제조업
296,(주)나이벡,138610,2019,제조업
297,(주)나이벡,138610,2020,제조업
298,(주)나이벡,138610,2021,제조업
299,(주)나이스디앤비,130580,2013,"사업시설 관리, 사업 지원 및 임대 서비스업"
300,(주)나이스디앤비,130580,2014,"사업시설 관리, 사업 지원 및 임대 서비스업"
301,(주)나이스디앤비,130580,2015,"사업시설 관리, 사업 지원 및 임대 서비스업"
