,총자본순이익률,총자산증가율,순이익증가율,운전자산회전율,현금흐름,금융비용대비매출액,자기자본비율,유형자산증가율,y,감사의견코드,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업,회계년도
554,7.985977007531749,15.44568352167878,53.23723573221422,1171.9875413442835,26.827523017374578,0.0,50.437648133753335,17.965549164143923,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
555,-1.257234577725902,9.55831302287703,-922.3847818259084,2970.737620044032,9.630378246692478,3.108259552823931,40.10242747198109,21.11713996407506,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
556,3.785171470293864,-4.626864000649979,-60.03832956381812,235.80953076180924,1.7030776971571873,0.1614813638937776,80.68045859076479,-11.032142928189025,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
557,1.829557257012548,-5.810461401020357,359.11654925292044,110.96261922822733,7.195872905464004,6.937071127183284,28.78249904222,-3.574577991232094,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
558,4.108537494118027,2.13198223250488,13.517658469587502,-120081.81930616536,19.83345345036164,2.3212792011877785,49.77475341832693,0.5968632272648494,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
559,10.393605166584448,19.66982199592103,62.2727558152707,97.54743343730294,6.704219314084338,0.0,102.03916774632604,131.91706594956833,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
560,14.49075185699239,16.66581499335365,9.471140525563882,85.58593084653381,18.883830270359702,0.0,95.71563833432856,46.30476224094261,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
561,5.225943230743853,-2.124479324429866,2.266861663516817,126.08496305012028,12.802768643035694,2.956726132017707,61.2790787956711,44.429045593752384,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
562,1.2681745733895753,19.18358466217423,-30.345651759056235,2823.042475310293,8.88205095629452,1.4908053341973424,38.46087530327273,34.57708422107879,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
563,0.647274155182769,100.3179762840047,-66.5051970436109,-1326.1606223544215,14.295531919951191,1.757201610960773,26.532054812401608,315.5056736047732,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
564,6.589184725498252,42.19890324088082,545.8810802435406,15936.77827425715,3.143698007602919,0.6443567103200344,51.36069268003383,32.616739539517944,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
565,1.0987321866857762,-3.030281890631052,398.0292325545259,442.3607612761364,-4.791620761025862,0.7121002935527684,63.40304170942069,7.546911502707227,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
566,-3.338891075958856,1.981394190347909,-446.1263525656332,317.8718756149899,1.8961425680229564,0.0510373260335662,53.21757365225327,-4.2336181408765885,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
567,-4.134486557878816,-4.500437357544612,-254.4439718679029,646.9144594610218,-5.070470126375316,2.686623650678368,46.99729782286016,-3.82753510067274,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
568,3.001002844295828,0.5940978190627806,-3.156121241442944,515.1285113931807,4.392381668627006,1.805095637723321,68.58040133924776,-1.1216213303861966,0.0,1,0,0,0,0,0,0,0,0,0,1,2013
569,6.976785524168038,-6.383700610562679,27.72700400535304,181.4531685053757,12.689775573382034,0.0032507509090406,83.26939327036968,-7.650912165145242,0.0,1,0,0,0,0,0,0,0,0,0,0,2014
570,9.443520218478122,13.68565535716354,-0.7008293134482702,186.27013292201872,9.320729087105402,0.0,89.99564196995856,17.68566770463939,0.0,1,0,0,0,0,0,0,0,0,0,0,2014
571,6.711096872644553,0.8980063076962603,4.589656706212986,-406.134772896594,16.711776919855506,0.0,48.354699466918696,59.79774128532132,0.0,1,0,1,0,0,0,0,0,0,0,0,2014
572,-11.52632749631602,-5.012377962566336,-230.08426327719965,-26.03267834938165,-42.15839448279956,20.240251221519983,22.17077432932529,-0.6057746387892485,0.0,1,0,0,1,0,0,0,0,0,0,0,2014
573,3.1425671130345214,3.2108910982999164,-50.88341655885916,97.3286678243291,2.074919179303817,0.9044859681778225,72.96839412297386,21.569836744369205,0.0,1,0,0,1,0,0,0,0,0,0,0,2014
574,-33.27628639638304,-0.4800128338487196,-232.33831199809103,148.9278718201047,-63.92504272589389,2.6641704741932624,48.04340571189602,-7.284498288143405,0.0,1,0,0,1,0,0,0,0,0,0,0,2014
575,-0.6800590644977835,-1.1965469220750191,-140.33093024473317,142.1186759358797,3.181844899055915,4.336667696205918,81.63111982017274,-0.5975008167522574,0.0,1,0,0,1,0,0,0,0,0,0,0,2014
576,-6.418850385025704,-11.09828452546057,-188.22767642537664,13.8993140920888,-6.291574939986521,0.0,88.43093756243806,2.8431963697996085,0.0,0,0,0,1,0,0,0,0,0,0,0,2014
577,0.1570161436395273,3.643619370792502,-68.31013829903083,-2774.2534000401065,7.986728810481135,1.9972787299250987,36.57411487909721,-8.82992197230335,0.0,1,0,0,0,0,1,0,0,0,0,0,2014
578,3.540128486465013,11.065536411424477,42.348413414234166,162.44568602739616,-18.98758358176445,0.0,94.56956916332486,263.57602511324086,0.0,1,0,0,0,0,0,0,0,0,1,0,2014
579,1.788236769811827,-6.4744729119191335,152.14917825537296,260.3453145499116,6.294647049261756,1.694303104414939,59.26791294895385,-2.791593352935388,0.0,1,0,0,0,0,0,0,0,0,1,0,2014
580,-3.4529092853414065,30.67757707984683,-182.6880871517902,34.363133635332886,-21.22813998825664,8.202187813227214,74.10197728822338,-2.932631488601216,0.0,0,0,0,0,0,0,0,0,0,1,0,2014
581,5.357406040441812,-4.528899338183785,155.64316075247902,284.4230461422771,-3.570423049815408,3.707865357733749,53.55531503608486,-11.304936251182047,0.0,1,0,0,0,0,0,0,0,0,1,0,2014
582,2.762618994104141,-1.5712887071198796,-31.61135319277315,183.0984415892789,10.612140038568102,1.3936436698108374,62.54314191258904,-1.2872793938276317,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
583,4.538594316966363,24.78456437149544,-13.456419894807492,366.0063332250516,6.147760282481412,0.4647717505586226,65.93985002808931,81.84385349456834,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
584,-1.3373081867773124,6.743919822672445,-219.3209680613544,1426.842371288271,-10.032670546368111,1.3432531207902796,41.90822640528123,15.002201705515905,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
585,21.28003099683661,5.943128620372777,161.48151145671085,192.26531089652417,14.035318213678602,7.768828727707124,37.94615607147237,-16.44204204936551,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
586,-2.417703113908894,-0.5759164357130196,-330.1512771859858,102.68669236936428,-1.8010426817467955,3.642217449514319,60.16099935235511,-0.1580092731071888,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
587,5.650283570319063,18.579401065480987,-2.5956447521345294,526.3675384945088,11.262787801630964,0.0459545279032511,55.41120900040898,2.866721596256377,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
588,-6.997049751422647,1.5301416268898114,-197.8759411930958,-268.1639603425072,-16.58216260898025,9.432365700641103,35.17801293851732,0.4750404595848431,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
589,1.5688476762996388,-3.030766693297864,325.5227508801693,6679.765317456716,4.769258866696474,0.2877908666593949,62.08229755904191,-0.690567549345687,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
590,-0.9993221840120804,-3.700866010518237,-153.9773137678056,-697.189173976946,0.2636557745839602,5.385757802181382,38.27524664395501,2.316853593316858,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
591,6.7312851476203885,29.183495616558147,26.969068958437937,700.1901351735669,-1.99522257958946,1.6739853096709716,53.83978779890988,11.298307244905148,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
592,1.7213122954943525,10.946964836964574,-74.49120619755102,-1410.8969861176188,5.556979990001178,1.3532157573871515,31.18289541288772,8.151489629374838,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
593,-4.28187846225235,-7.022461426302661,-1546.9331004836108,188.81265706643725,-1.6961743898297517,0.0509406551697872,85.08482931323881,-6.496751100707392,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
594,-9.110259193197962,-17.08833560058776,-586.0858515781325,376.3261132718012,-17.440157745529163,2.13398594112608,42.02526845090933,-0.3138126345574836,0.0,1,0,0,0,0,0,0,0,0,0,1,2014
