회사명,거래소코드,회계년도,자산,유동자산,재고자산,매출채권및기타유동채권,비유동자산,유형자산,부채,유동부채,장기차입금,단기차입금,장기사채,단기사채,유동성장기부채,자본,매출원가,매출액,당기순이익,판매비와관리비,(정상)영업손익,법인세비용차감전순이익,급여,세금과공과,이자비용,기말자본금,기초자본금,유무형자산등상각비,대손상각비,감가상각비,영업활동으로인한현금흐름
(주)고바이오랩,348150,2021/09,51972025,45402987,181295,2486818,6569038,5697700,3183823,2954592,0,0,0,0,29824,48788202,868707,1937557,-11601865,13071361,-12002511,-11601865,625112,18552,7526,8080772,7759253,165,0,44374,-8956500
(주)고영테크놀러지,98460,2010/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고영테크놀러지,98460,2011/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고영테크놀러지,98460,2012/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고영테크놀러지,98460,2013/09,118749322,93436172,20356820,32046436,25313150,15034857,23809458,17546465,0,0,0,0,0,94939864,38023450,83389333,10735347,32952932,12412952,12775732,8423553,323329,9804,4477817,4477067,1626,238541,573175,10502366
(주)고영테크놀러지,98460,2014/09,138894841,105963273,23070844,37045607,32931568,19764750,30784038,24291457,466792,0,0,0,0,108110804,45779404,104093201,14918361,38086515,20227281,18691806,10336580,581499,8053,6718226,4477817,2092,222731,614696,19408917
(주)고영테크놀러지,98460,2015/09,154343691,118265744,21281517,43634045,36077947,19955898,28588356,22641291,152508,0,0,0,166025,125755335,42749875,105811662,17923880,45110785,17951002,20823110,11141137,694968,7606,6809976,6718226,2508,893095,1126110,13632850
(주)고영테크놀러지,98460,2016/09,174245769,133445579,19286522,51822412,40800190,23418201,31015762,20206091,0,0,0,0,165803,143230007,46787217,125670199,17383829,54324182,24558800,20450982,13781457,815694,13293,6834476,6818976,2672,462110,1212043,15347518
(주)고영테크놀러지,98460,2017/09,203861719,159696704,24050082,74876532,44165015,24311105,43211813,31610023,0,0,0,0,0,160649906,52788867,147877562,23784529,63138800,31949896,28947359,14961621,816031,6719,6837976,6834476,2780,324782,1402813,7085189
(주)고영테크놀러지,98460,2018/09,278779488,227162486,32535651,88129609,51617002,33079920,56095644,41656001,0,0,0,0,0,222683845,67403299,178379186,33233111,74996218,35979669,42178629,16033919,1074653,5929,6843976,6842976,3265,741806,1820398,10586740
(주)고영테크놀러지,98460,2019/09,297221324,234101817,34871159,94895914,63119507,34143195,53420281,35422325,0,0,0,0,0,243801043,63721883,171590323,30076758,79411856,28456583,38050139,15790658,1274032,130125,6846976,6843976,7938,233693,6791355,15068908
